03:32:49 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_3\Exp_3_4_Res_95x128\Balanced and C:\Users\bt22aak\GPU_DS\Exp_3\Exp_3_4_Res_95x128\Unbalanced 
03:32:49 : Starting the processing of Exp_3_4_Res_95x128_b32e50L1e-05 
03:33:55 : Running on GPU 
03:33:55 : Model is Exp_3_4_Res_95x128_b32e50L1e-05 
03:37:31 : Epoch [1/50], Loss: 0.4537, Accuracy: 0.7505, Precision: 0.6824, Recall: 0.9374, Specificity: 0.5637, F1-Score: 0.7898 
03:41:00 : Epoch [2/50], Loss: 0.3860, Accuracy: 0.8935, Precision: 0.8718, Recall: 0.9228, Specificity: 0.8643, F1-Score: 0.8966 
03:44:30 : Epoch [3/50], Loss: 0.3773, Accuracy: 0.9092, Precision: 0.8813, Recall: 0.9457, Specificity: 0.8727, F1-Score: 0.9124 
03:47:59 : Epoch [4/50], Loss: 0.3494, Accuracy: 0.9071, Precision: 0.8839, Recall: 0.9374, Specificity: 0.8768, F1-Score: 0.9098 
03:51:28 : Epoch [5/50], Loss: 0.3194, Accuracy: 0.9175, Precision: 0.8891, Recall: 0.9541, Specificity: 0.8810, F1-Score: 0.9204 
03:54:57 : Epoch [6/50], Loss: 0.3107, Accuracy: 0.9269, Precision: 0.8956, Recall: 0.9666, Specificity: 0.8873, F1-Score: 0.9297 
03:58:27 : Epoch [7/50], Loss: 0.3090, Accuracy: 0.9301, Precision: 0.9459, Recall: 0.9123, Specificity: 0.9478, F1-Score: 0.9288 
04:01:59 : Epoch [8/50], Loss: 0.2838, Accuracy: 0.9342, Precision: 0.9177, Recall: 0.9541, Specificity: 0.9144, F1-Score: 0.9355 
04:05:30 : Epoch [9/50], Loss: 0.2435, Accuracy: 0.9478, Precision: 0.9387, Recall: 0.9582, Specificity: 0.9374, F1-Score: 0.9483 
04:08:59 : Epoch [10/50], Loss: 0.2106, Accuracy: 0.9415, Precision: 0.9343, Recall: 0.9499, Specificity: 0.9332, F1-Score: 0.9420 
04:12:28 : Epoch [11/50], Loss: 0.1473, Accuracy: 0.9457, Precision: 0.9296, Recall: 0.9645, Specificity: 0.9269, F1-Score: 0.9467 
04:15:57 : Epoch [12/50], Loss: 0.2035, Accuracy: 0.9489, Precision: 0.9424, Recall: 0.9562, Specificity: 0.9415, F1-Score: 0.9492 
04:19:26 : Epoch [13/50], Loss: 0.1934, Accuracy: 0.9499, Precision: 0.9407, Recall: 0.9603, Specificity: 0.9395, F1-Score: 0.9504 
04:22:55 : Epoch [14/50], Loss: 0.2067, Accuracy: 0.9311, Precision: 0.9519, Recall: 0.9081, Specificity: 0.9541, F1-Score: 0.9295 
04:26:24 : Epoch [15/50], Loss: 0.1922, Accuracy: 0.9509, Precision: 0.9444, Recall: 0.9582, Specificity: 0.9436, F1-Score: 0.9513 
04:29:53 : Epoch [16/50], Loss: 0.2033, Accuracy: 0.9530, Precision: 0.9393, Recall: 0.9687, Specificity: 0.9374, F1-Score: 0.9538 
04:33:23 : Epoch [17/50], Loss: 0.2053, Accuracy: 0.9551, Precision: 0.9431, Recall: 0.9687, Specificity: 0.9415, F1-Score: 0.9557 
04:36:52 : Epoch [18/50], Loss: 0.2312, Accuracy: 0.9541, Precision: 0.9448, Recall: 0.9645, Specificity: 0.9436, F1-Score: 0.9545 
04:40:21 : Epoch [19/50], Loss: 0.2478, Accuracy: 0.9509, Precision: 0.9463, Recall: 0.9562, Specificity: 0.9457, F1-Score: 0.9512 
04:43:50 : Epoch [20/50], Loss: 0.2128, Accuracy: 0.9520, Precision: 0.9446, Recall: 0.9603, Specificity: 0.9436, F1-Score: 0.9524 
04:47:19 : Epoch [21/50], Loss: 0.2739, Accuracy: 0.9509, Precision: 0.9444, Recall: 0.9582, Specificity: 0.9436, F1-Score: 0.9513 
04:50:49 : Epoch [22/50], Loss: 0.2304, Accuracy: 0.9520, Precision: 0.9482, Recall: 0.9562, Specificity: 0.9478, F1-Score: 0.9522 
04:54:18 : Epoch [23/50], Loss: 0.2692, Accuracy: 0.9499, Precision: 0.9499, Recall: 0.9499, Specificity: 0.9499, F1-Score: 0.9499 
04:57:47 : Epoch [24/50], Loss: 0.2660, Accuracy: 0.9499, Precision: 0.9480, Recall: 0.9520, Specificity: 0.9478, F1-Score: 0.9500 
05:01:16 : Epoch [25/50], Loss: 0.3061, Accuracy: 0.9520, Precision: 0.9464, Recall: 0.9582, Specificity: 0.9457, F1-Score: 0.9523 
05:04:45 : Epoch [26/50], Loss: 0.2884, Accuracy: 0.9509, Precision: 0.9463, Recall: 0.9562, Specificity: 0.9457, F1-Score: 0.9512 
05:08:14 : Epoch [27/50], Loss: 0.3002, Accuracy: 0.9499, Precision: 0.9518, Recall: 0.9478, Specificity: 0.9520, F1-Score: 0.9498 
05:11:43 : Epoch [28/50], Loss: 0.3199, Accuracy: 0.9499, Precision: 0.9462, Recall: 0.9541, Specificity: 0.9457, F1-Score: 0.9501 
19:13:08 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_3\Exp_3_4_Res_95x128\Balanced and C:\Users\bt22aak\GPU_DS\Exp_3\Exp_3_4_Res_95x128\Unbalanced 
19:13:09 : Starting the processing of Exp_3_4_Res_95x128_b32e50L1e-05 
19:13:57 : Running on GPU 
19:13:57 : Model is Exp_3_4_Res_95x128_b32e50L1e-05 
19:17:35 : Epoch [1/50], Loss: 0.4304, Accuracy: 0.8977, Precision: 0.8574, Recall: 0.9541, Specificity: 0.8413, F1-Score: 0.9032 
19:21:07 : Epoch [2/50], Loss: 0.3859, Accuracy: 0.9175, Precision: 0.8846, Recall: 0.9603, Specificity: 0.8747, F1-Score: 0.9209 
19:24:40 : Epoch [3/50], Loss: 0.3657, Accuracy: 0.9196, Precision: 0.9136, Recall: 0.9269, Specificity: 0.9123, F1-Score: 0.9202 
19:28:12 : Epoch [4/50], Loss: 0.3118, Accuracy: 0.9301, Precision: 0.8962, Recall: 0.9729, Specificity: 0.8873, F1-Score: 0.9329 
19:31:45 : Epoch [5/50], Loss: 0.3032, Accuracy: 0.9280, Precision: 0.8942, Recall: 0.9708, Specificity: 0.8852, F1-Score: 0.9309 
19:35:17 : Epoch [6/50], Loss: 0.3124, Accuracy: 0.9342, Precision: 0.9094, Recall: 0.9645, Specificity: 0.9040, F1-Score: 0.9362 
19:38:49 : Epoch [7/50], Loss: 0.2779, Accuracy: 0.9447, Precision: 0.9312, Recall: 0.9603, Specificity: 0.9290, F1-Score: 0.9455 
19:42:22 : Epoch [8/50], Loss: 0.2973, Accuracy: 0.9311, Precision: 0.9422, Recall: 0.9186, Specificity: 0.9436, F1-Score: 0.9302 
19:45:54 : Epoch [9/50], Loss: 0.2661, Accuracy: 0.9478, Precision: 0.9387, Recall: 0.9582, Specificity: 0.9374, F1-Score: 0.9483 
19:49:27 : Epoch [10/50], Loss: 0.2123, Accuracy: 0.9436, Precision: 0.9400, Recall: 0.9478, Specificity: 0.9395, F1-Score: 0.9439 
