20:27:27 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_2\Exp_2_3_Canny_75_225\Balanced and C:\Users\bt22aak\GPU_DS\Exp_2\Exp_2_3_Canny_75_225\Unbalanced 
20:27:27 : Starting the processing of Exp_2_3_Canny_75_225_b32e50L0.0001 
20:28:06 : Running on GPU 
20:28:06 : Model is Exp_2_3_Canny_75_225_b32e50L0.0001 
20:28:17 : Epoch [1/50], Loss: 0.3949, Accuracy: 0.9019, Precision: 0.8558, Recall: 0.9666, Specificity: 0.8372, F1-Score: 0.9078 
20:28:25 : Epoch [2/50], Loss: 0.4163, Accuracy: 0.8998, Precision: 0.8634, Recall: 0.9499, Specificity: 0.8497, F1-Score: 0.9046 
20:28:34 : Epoch [3/50], Loss: 0.3137, Accuracy: 0.9384, Precision: 0.9375, Recall: 0.9395, Specificity: 0.9374, F1-Score: 0.9385 
20:28:42 : Epoch [4/50], Loss: 0.1231, Accuracy: 0.9332, Precision: 0.9226, Recall: 0.9457, Specificity: 0.9207, F1-Score: 0.9340 
20:28:51 : Epoch [5/50], Loss: 0.1560, Accuracy: 0.9415, Precision: 0.9453, Recall: 0.9374, Specificity: 0.9457, F1-Score: 0.9413 
20:28:59 : Epoch [6/50], Loss: 0.2316, Accuracy: 0.9374, Precision: 0.9374, Recall: 0.9374, Specificity: 0.9374, F1-Score: 0.9374 
20:29:08 : Epoch [7/50], Loss: 0.2127, Accuracy: 0.9405, Precision: 0.9396, Recall: 0.9415, Specificity: 0.9395, F1-Score: 0.9406 
20:29:16 : Epoch [8/50], Loss: 0.1787, Accuracy: 0.9384, Precision: 0.9339, Recall: 0.9436, Specificity: 0.9332, F1-Score: 0.9387 
20:29:25 : Epoch [9/50], Loss: 0.1970, Accuracy: 0.9415, Precision: 0.9415, Recall: 0.9415, Specificity: 0.9415, F1-Score: 0.9415 
20:29:33 : Epoch [10/50], Loss: 0.2915, Accuracy: 0.9395, Precision: 0.9432, Recall: 0.9353, Specificity: 0.9436, F1-Score: 0.9392 
20:29:42 : Epoch [11/50], Loss: 0.3302, Accuracy: 0.9301, Precision: 0.9328, Recall: 0.9269, Specificity: 0.9332, F1-Score: 0.9298 
20:29:51 : Epoch [12/50], Loss: 0.4551, Accuracy: 0.9353, Precision: 0.9317, Recall: 0.9395, Specificity: 0.9311, F1-Score: 0.9356 
20:29:59 : Epoch [13/50], Loss: 0.4948, Accuracy: 0.9342, Precision: 0.9194, Recall: 0.9520, Specificity: 0.9165, F1-Score: 0.9354 
20:30:08 : Epoch [14/50], Loss: 0.2567, Accuracy: 0.9426, Precision: 0.9454, Recall: 0.9395, Specificity: 0.9457, F1-Score: 0.9424 
20:30:16 : Epoch [15/50], Loss: 0.4492, Accuracy: 0.9405, Precision: 0.9306, Recall: 0.9520, Specificity: 0.9290, F1-Score: 0.9412 
20:30:25 : Epoch [16/50], Loss: 0.4760, Accuracy: 0.9426, Precision: 0.9362, Recall: 0.9499, Specificity: 0.9353, F1-Score: 0.9430 
20:30:33 : Epoch [17/50], Loss: 0.5765, Accuracy: 0.9395, Precision: 0.9376, Recall: 0.9415, Specificity: 0.9374, F1-Score: 0.9396 
20:30:42 : Epoch [18/50], Loss: 0.5679, Accuracy: 0.9405, Precision: 0.9360, Recall: 0.9457, Specificity: 0.9353, F1-Score: 0.9408 
20:30:50 : Epoch [19/50], Loss: 0.5770, Accuracy: 0.9405, Precision: 0.9360, Recall: 0.9457, Specificity: 0.9353, F1-Score: 0.9408 
20:30:59 : Epoch [20/50], Loss: 0.5855, Accuracy: 0.9405, Precision: 0.9360, Recall: 0.9457, Specificity: 0.9353, F1-Score: 0.9408 
20:31:07 : Epoch [21/50], Loss: 0.6064, Accuracy: 0.9395, Precision: 0.9358, Recall: 0.9436, Specificity: 0.9353, F1-Score: 0.9397 
20:31:16 : Epoch [22/50], Loss: 0.6157, Accuracy: 0.9395, Precision: 0.9358, Recall: 0.9436, Specificity: 0.9353, F1-Score: 0.9397 
